ID	Internal ID	Name	Codes	Allowed	Banned
1	1	Cannon	A, B, C, D, E, *	A, B, C, D, E, *	
2	2	HiCannon	C, D, E, F, G, *	C, D, E, F, G, *	
3	3	M-Cannon	E, F, G, H, I, *	E, F, G, H, I	*
4	4	Shotgun	B, F, H, J, N, *	B, J, *	F, H, N
5	5	V-Gun	A, F, G, L, P, *	A, L, P	F, G, *
6	6	CrossGun	H, J, M, Q, S, *	J, M, Q, S, *	H
7	7	Spreader	M, N, O, P, Q, *	M, N, O, P, Q, *	
8	8	Bubbler	B, G, H, P, R	B, G, H, P, R	
9	9	Bub-V	C, D, J, N, S	C, D, J, N, S	
10	10	BubCross	K, O, P, T, V	K, O, P, T, V	
11	11	BubSprd	E, F, I, L, M	E, F, I, L, M	
12	12	HeatShot	B, G, H, P, R	B, G, H, P	R
13	13	Heat-V	C, D, J, N, S	C, D, J, N, S	
14	14	HeatCros	K, O, P, T, V	K, O, P, T, V	
15	15	HeatSprd	E, F, I, L, M	E, F, I, L, M	
16	16	MiniBomb	B, E, G, L, O, *	B, E, *	G, L, O
17	17	LilBomb	F, J, O, Q, T, *	F, J, O, Q, T, *	
18	18	CrosBomb	D, J, O, Q, T	D, J, O, Q, T	
19	19	BigBomb	O, Q, T, V, Y, *	O, T, V, Y, *	Q
20	20	TreeBom1	B, G, H, P, R, *	B, G, H, P, R, *	
21	21	TreeBom2	C, D, J, N, S, *	C, D, J, N, S	*
22	22	TreeBom3	K, O, P, T, V, *	K, O, P, T, V	*
23	23	Sword	A, K, L, S, Y, *	A, L, S, Y	K, *
24	24	WideSwrd	A, C, L, Q, Y, *	A, L, Y, *	C, Q
25	25	LongSwrd	A, I, L, O, Y	A, I, L, O, Y	
26	26	FireSwrd	F, H, N, R, U	F, H, N, R	U
27	27	AquaSwrd	A, H, N, R, W	A, H, N, R, W	
28	28	ElecSwrd	E, H, N, R, V, *	E, N, *	H, R, V
29	29	FireBlde	F, H, P, R, Z, *	F, R, *	H, P, Z
30	30	AquaBlde	A, F, J, R, Z, *	A, R, *	F, J, Z
31	31	ElecBlde	E, F, M, N, R, *	E, N, R, *	F, M
32	32	StepSwrd	D, H, M, Q, U, *	M, Q, U	D, H, *
33	35	Kunai1	E, I, L, P, S	E, I, L, P, S	
34	36	Kunai2	D, F, J, Q, R	D, F, J, Q, R	
35	37	Kunai3	C, G, H, K, N	C, G, H, K, N	
36	34	CustSwrd	B, G, K, Q, T	B	G, K, Q, T
37	33	Muramasa	N, O, T, U, W	O	N, T, U, W
38	121	VarSwrd	B, L, N, T, Z	B, L, N, T	Z
39	38	Slasher	A, D, H, L, Q, *	L	A, D, H, Q, *
40	39	Shockwav	H, J, L, R, U	H, J, L, R, U	
41	40	Sonicwav	E, I, M, S, W	E, I, M, S, W	
42	41	Dynawave	G, N, Q, T, V	G, N, Q, T, V	
43	42	Quake1	A, M, P, Q, W	A, M, P, Q, W	
44	43	Quake2	B, G, N, Q, W	B, G, N, Q, W	
45	44	Quake3	C, E, O, Q, W	Q, W	C, E, O
46	45	GutPunch	B, D, H, K, N	B, D, H, K, N	
47	46	ColdPnch	B, D, L, P, S	B, D	L, P, S
48	50	DashAtk	B, D, G, J, L, *	B, D, G, J, L, *	
49	51	Wrecker	O, Q, S, U, W	O, Q, S, W	U
50	52	CannBall	O, P, Q, R, S, *	O, P, Q, R, S, *	
51	53	DoubNdl	A, C, F, I, J	A, C, F, I, J	
52	54	TripNdl	C, I, M, T, V	C, I, M, T, V	
53	55	QuadNdl	C, H, I, P, U	H, I, P, U	C
54	56	Trident	E, I, K, O, T	E	I, K, O, T
55	57	Ratton1	H, I, J, K, L, *	H, I, J, K, L, *	
56	58	Ratton2	J, K, L, M, N, *	J, K, L, M, N, *	
57	59	Ratton3	L, M, N, O, P, *	L, M, N, O, P, *	
58	60	FireRat	B, F, G, H, R, *	F, R	B, G, H, *
59	61	Tornado	E, J, L, M, Q	E	J, L, M, Q
60	62	Twister	N, O, T, U, Y	N, Y	O, T, U
61	63	Blower	P, R, T, W, Z	P	R, T, W, Z
62	64	Burner	A, B, F, L, S	A, B, F, L, S	
63	65	ZapRing1	A, M, P, Q, W, *	A, M, P, Q, W, *	
64	66	ZapRing2	B, G, N, R, S	B, G, N, R, S	
65	67	ZapRing3	C, E, O, T, Z	C, E, O, T, Z	
66	71	Satelit1	G, O, Q, U, W	G	O, Q, U, W
67	72	Satelit2	H, J, K, P, R	P, R	H, J, K
68	73	Satelit3	L, S, T, Y, Z	L, S	T, Y, Z
69	68	Spice1	A, C, G, Q, T	A, C, G, Q, T	
70	69	Spice2	B, E, H, J, N	B, E, H, J, N	
71	70	Spice3	D, K, M, P, Q	D, K, M, P, Q	
72	77	MagBomb1	F, G, J, M, N, *	F, G, *	J, M, N
73	78	MagBomb2	B, D, I, R, T, *	D, R, *	B, I, T
74	79	MagBomb3	H, K, O, Q, S, *	H, Q, S	K, O, *
75	74	Yo-Yo1	C, E, R, T, V	C, E, R, T, V	
76	75	Yo-Yo2	A, G, J, K, N	A, G, J, K, N	
77	76	Yo-Yo3	D, I, M, S, Y	D, I, M, S, Y	
78	85	CrsShld1	A, O, P, S, Z	O, P, S	A, Z
79	86	CrsShld2	A, O, P, T, V	A, O, P	T, V
80	87	CrsShld3	A, O, P, U, W	A, O, P	U, W
81	84	Hammer	R, T, U, V, Z	T, U, Z	R, V
82	117	ZeusHamr	J, K, O, V, Z	Z	J, K, O, V
83	116	Lance	O, P, T, V, Y, *	P, Y	O, T, V, *
84	118	BrnzFist	B, N, O, R, S	N, S	B, O, R
85	119	SilvFist	E, I, L, S, V	E, I, L, V	S
86	120	GoldFist	D, G, L, O, Z	Z	D, G, L, O
87	107	PoisMask	D, S, U, W, Z	S, U, W	D, Z
88	108	PoisFace	P, Q, U, W, Y	U, W	P, Q, Y
89	109	Whirlpl	A, C, E, G, I	A, C, E, G, I	
90	110	Blckhole	B, D, F, H, J	B, D, F, H, J	
91	80	Meteor9	C, E, L, S, V, *	C, S	E, L, V, *
92	81	Meteor12	A, C, F, J, W, *	A, C, F, J, W	*
93	82	Meteor15	D, G, H, R, Z, *	D, G, H, R, Z	*
94	83	Meteor18	B, G, I, K, O, *	B, G, K	I, O, *
95	88	TimeBom1	C, G, K, M, Z	C, G, K, M, Z	
96	89	TimeBom2	F, G, K, O, Z	F, G, K, O, Z	
97	90	TimeBom3	E, G, K, P, Z	E, G, K, P, Z	
98	91	LilCloud	C, G, I, K, N	C, G, I, K, N	
99	92	MedCloud	D, H, J, L, O	D, H, J, L, O	
100	93	BigCloud	Q, R, T, U, W	Q, R, T, U, W	
101	94	Mine	L, N, R, S, V, *	S	L, N, R, V, *
102	95	FrntSnsr	H, M, Q, R, T	R	H, M, Q, T
103	96	DblSnsr	E, J, P, W, Y	E	J, P, W, Y
104	97	Remobit1	E, G, J, K, N	E, G, J, K, N	
105	98	Remobit2	B, F, I, R, U	B, F, I, R, U	
106	99	Remobit3	A, L, M, T, Y	A, L, M, T, Y	
107	100	AquaBall	A, B, Q, T, W	A, B, Q, T, W	
108	101	ElecBall	E, H, J, K, V	E, H, J, K, V	
109	102	HeatBall	C, F, R, S, U	C, F, R, S, U	
110	103	Geyser	A, B, D, L, S	B	A, D, L, S
111	104	LavaDrag	F, G, O, R, Y	F, G, R, Y	O
112	105	GodStone	E, I, L, Q, U	Q	E, I, L, U
113	106	OldWood	C, M, S, T, W	W	C, M, S, T
114	111	Guard	*	*	
115	113	PanlOut1	A, B, D, L, S, *	B, *	A, D, L, S
116	114	PanlOut3	C, E, N, R, Y, *	*	C, E, N, R, Y
117	115	LineOut	F, H, J, Q, T, *	F, H, J, Q, T	*
118	136	Catcher	F, I, J, N, T, *	F, N, T	I, J, *
119	137	Mindbndr	D, I, M, N, T	D, I	M, N, T
120	122	Recov10	A, C, E, G, L, *	A, L, *	C, E, G
121	123	Recov30	B, D, F, H, M, *	B, F, H, *	D, M
122	124	Recov50	C, E, G, I, N, *	C, G, I, N, *	E
123	125	Recov80	D, F, H, J, O, *	D, F, O, *	H, J
124	126	Recov120	O, Q, S, U, W	O, S, U	Q, W
